query_id,query,query_type,route,is_no_answer,expected_item_id,relevant_item_ids,split,review_status,label_source,generation_method,evidence,notes
v16_cal_019,找一张路牌照片，画面文字写着“金华兰溪”和“常乐寺”,mixed,mixed,False,user_5f2ea52e35f8,user_5f2ea52e35f8,calibration,frozen_ai_source_verified,source_metadata_or_ocr,visual_structure_plus_exact_ocr,金华兰溪 | 常乐寺,
v16_cal_020,找一张路牌照片，画面文字写着“陇海快速路”和“兴华南街方向”,mixed,mixed,False,user_8265b534d98d,user_8265b534d98d,calibration,frozen_ai_source_verified,source_metadata_or_ocr,visual_structure_plus_exact_ocr,陇海快速路 | 兴华南街方向,
v16_cal_021,找一张路牌照片，画面文字写着“北城村”和“Beichengcun”,mixed,mixed,False,user_6e1d4748eb40,user_6e1d4748eb40,calibration,frozen_ai_source_verified,source_metadata_or_ocr,visual_structure_plus_exact_ocr,北城村 | Beichengcun,
v16_cal_022,找一张路牌照片，画面文字写着“店子村”和“Dianzicun”,mixed,mixed,False,user_67a89907c7fa,user_67a89907c7fa,calibration,frozen_ai_source_verified,source_metadata_or_ocr,visual_structure_plus_exact_ocr,店子村 | Dianzicun,
v16_cal_023,找一张路牌照片，画面文字写着“五环路”和“机场高速”,mixed,mixed,False,user_95ed509aeea4,user_95ed509aeea4,calibration,frozen_ai_source_verified,source_metadata_or_ocr,visual_structure_plus_exact_ocr,五环路 | 机场高速,
v16_cal_024,找一张路牌照片，画面文字写着“G311”和“92”,mixed,mixed,False,user_f662856aef3a,user_f662856aef3a,calibration,frozen_ai_source_verified,source_metadata_or_ocr,visual_structure_plus_exact_ocr,G311 | 92,
v16_cal_025,机构其他身份信息,topic_discovery,topic_discovery,False,user_3dad250e1a63,user_3dad250e1a63;user_717cbfeee971,calibration,frozen_ai_source_verified,source_metadata_or_ocr,unique_source_topic_phrase,机构其他身份信息,
v16_cal_026,因身体健康原因申请缓考,topic_discovery,topic_discovery,False,user_439015dba4e5,user_439015dba4e5,calibration,frozen_ai_source_verified,source_metadata_or_ocr,unique_source_topic_phrase,因身体健康原因申请缓考,
v16_cal_027,人力资源需求申请表,topic_discovery,topic_discovery,False,user_01a7f9439cdd,user_01a7f9439cdd,calibration,frozen_ai_source_verified,source_metadata_or_ocr,unique_source_topic_phrase,人力资源需求申请表,
v16_cal_028,遗传资源来源披露登记表,topic_discovery,topic_discovery,False,user_33f8d26f865f,user_33f8d26f865f,calibration,frozen_ai_source_verified,source_metadata_or_ocr,unique_source_topic_phrase,遗传资源来源披露登记表,
v16_cal_029,个人出境信息登记表,topic_discovery,topic_discovery,False,user_4ae807fd90e7,user_4ae807fd90e7,calibration,frozen_ai_source_verified,source_metadata_or_ocr,unique_source_topic_phrase,个人出境信息登记表,
v16_cal_030,招聘人员信息登记表,topic_discovery,topic_discovery,False,user_a0fb13d57a81,user_a0fb13d57a81,calibration,frozen_ai_source_verified,source_metadata_or_ocr,unique_source_topic_phrase,招聘人员信息登记表,
v16_cal_031,找写着“QCM-8842量子咖啡机验收通过”的表格,text_evidence,text_evidence,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=QCM-8842量子咖啡机验收通过,
v16_cal_032,哪份文档包含“火星温室第七码头”和“极光电池保修单”？,text_evidence,text_evidence,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=火星温室第七码头,
v16_cal_033,查找记录“月球酒店早餐券编号LUNA-731”的页面,text_evidence,text_evidence,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=月球酒店早餐券编号LUNA-731,
v16_cal_034,找标题里包含“海底邮局年度企鹅会议纪要”的文档,text_evidence,text_evidence,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=海底邮局年度企鹅会议纪要,
v16_cal_035,找一张三只企鹅围着打印机的照片,visual_metadata,visual_metadata,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=三只企鹅围着打印机,visual negative requires pooled-candidate confirmation
v16_cal_036,找一张茶壶顶着键盘的照片,visual_metadata,visual_metadata,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=茶壶顶着键盘,visual negative requires pooled-candidate confirmation
v16_cal_037,找一张六台打字机堆成拱门的照片,visual_metadata,visual_metadata,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=六台打字机堆成拱门,visual negative requires pooled-candidate confirmation
v16_cal_038,找一张潜水员坐在办公室沙发上的照片,visual_metadata,visual_metadata,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=潜水员坐在办公室沙发,visual negative requires pooled-candidate confirmation
v16_cal_039,找紫色热气球飞越火山熔岩的照片,visual_discovery,visual_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=紫色热气球飞越火山熔岩,visual negative requires pooled-candidate confirmation
v16_cal_040,找蓝色鲸鱼游过沙漠峡谷的照片,visual_discovery,visual_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=蓝色鲸鱼游过沙漠峡谷,visual negative requires pooled-candidate confirmation
v16_cal_041,找绿色跑车停在雪山顶峰的照片,visual_discovery,visual_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=绿色跑车停在雪山顶峰,visual negative requires pooled-candidate confirmation
v16_cal_042,找粉色帆船穿过瀑布的照片,visual_discovery,visual_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=粉色帆船穿过瀑布,visual negative requires pooled-candidate confirmation
v16_cal_043,找写着“月球车维修站”的霓虹商店招牌,mixed,mixed,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=月球车维修站,
v16_cal_044,找菜单栏里写着“火星烤鱼配送”的应用截图,mixed,mixed,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=火星烤鱼配送,
v16_cal_045,找路牌上写着“企鹅高速出口99”的街景照片,mixed,mixed,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=企鹅高速出口99,
v16_cal_046,找登录界面里写着“木星农场管理员”的截图,mixed,mixed,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=木星农场管理员,
v16_cal_047,深海量子农业,topic_discovery,topic_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=深海量子农业,
v16_cal_048,火星考古快递,topic_discovery,topic_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=火星考古快递,
v16_cal_049,月球咖啡机维修,topic_discovery,topic_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=月球咖啡机维修,
v16_cal_050,极光潜艇保险,topic_discovery,topic_discovery,True,,,calibration,frozen_ai_source_verified,closed_taxonomy_negative,closed_taxonomy_compositional_negative,absent anchor=极光潜艇保险,
