query_id,family_id,gold_route,query_text,ambiguity_focus,label_basis,status
v19p_entity_001,entity_zhangwei,entity_exact,查一下张伟。,极短常见人名,目标是精确人名实体,draft_pilot_not_final
v19p_entity_002,entity_linyuqi,entity_exact,材料里有没有林雨琪？,问句式人名查找,目标是精确人名实体,draft_pilot_not_final
v19p_entity_003,entity_ouyangchen,entity_exact,帮我定位欧阳晨。,复姓人名,目标是精确人名实体,draft_pilot_not_final
v19p_entity_004,entity_liuyan,entity_exact,刘岩出现在哪些页？,人名加位置问法,目标是精确人名实体,draft_pilot_not_final
v19p_entity_005,entity_chenmo,entity_exact,我想找陈默的记录。,口语化人名检索,目标是精确人名实体,draft_pilot_not_final
v19p_entity_006,entity_wangzihan,entity_exact,检索王子涵。,命令式人名查找,目标是精确人名实体,draft_pilot_not_final
v19p_entity_007,entity_sunyi,entity_exact,孙毅在哪份名单里？,名单语境,目标仍是精确人名实体,draft_pilot_not_final
v19p_entity_008,entity_zhoulan,entity_exact,看看周岚有没有被提到。,自然问法,目标是精确人名实体,draft_pilot_not_final
v19p_entity_009,entity_hanxu,entity_exact,给我找韩旭。,短命令,目标是精确人名实体,draft_pilot_not_final
v19p_entity_010,entity_luoxinyi,entity_exact,罗欣怡对应的材料有哪些？,人名加材料范围,目标是精确人名实体,draft_pilot_not_final
v19p_entity_011,entity_zhenghe,entity_exact,郑禾。,只有实体,目标是精确人名实体,draft_pilot_not_final
v19p_entity_012,entity_mengfan,entity_exact,名单中能查到孟凡吗？,弱显式检索词,目标是精确人名实体,draft_pilot_not_final
v19p_topic_001,topic_storage,topic_discovery,整理一下与储能安全相关的材料。,宽泛主题,需要召回一个主题集合,draft_pilot_not_final
v19p_topic_002,topic_ocr,topic_discovery,我想看看光学字符识别方面都有哪些资料。,自然主题探索,不是定位唯一页面,draft_pilot_not_final
v19p_topic_003,topic_rural,topic_discovery,找些乡村振兴案例供我参考。,开放式资料发现,需要主题级多结果,draft_pilot_not_final
v19p_topic_004,topic_robot,topic_discovery,库里关于移动机器人导航的内容多吗？,问句式主题探索,需要聚合相关资料,draft_pilot_not_final
v19p_topic_005,topic_health,topic_discovery,给我浏览一下智慧医疗方向的文档。,浏览意图,不是事实查证,draft_pilot_not_final
v19p_topic_006,topic_carbon,topic_discovery,有哪些材料讨论了碳排放管理？,主题集合,需要宽泛召回,draft_pilot_not_final
v19p_topic_007,topic_education,topic_discovery,我在做数字教育调研，有什么能看的？,隐式主题检索,需要主题发现,draft_pilot_not_final
v19p_topic_008,topic_chip,topic_discovery,汇总芯片封装工艺相关资料。,技术主题,不是精确文本定位,draft_pilot_not_final
v19p_topic_009,topic_disaster,topic_discovery,想了解应急救灾方面的项目。,口语化探索,需要召回相关项目集合,draft_pilot_not_final
v19p_topic_010,topic_agriculture,topic_discovery,帮我找农业遥感这一块的内容。,领域表达,需要主题级检索,draft_pilot_not_final
v19p_topic_011,topic_privacy,topic_discovery,关于数据隐私保护，资料库覆盖了什么？,覆盖范围问题,需要主题发现,draft_pilot_not_final
v19p_topic_012,topic_transport,topic_discovery,看看智能交通方向有什么研究成果。,成果探索,需要宽泛召回,draft_pilot_not_final
v19p_mixed_001,mixed_chart_year,mixed,找左边是柱状图并且标题里写着2025年度的页面。,布局加明确文字,视觉布局和文字条件都必需,draft_pilot_not_final
v19p_mixed_002,mixed_red_ship,mixed,哪张轮船照片的说明里提到了极地科考？,对象加图注文字,视觉对象和文字证据都必需,draft_pilot_not_final
v19p_mixed_003,mixed_person_badge,mixed,找胸牌上写着“志愿者”的那位穿蓝衣服的人。,文字加人物属性,OCR文字和视觉颜色都必需,draft_pilot_not_final
v19p_mixed_004,mixed_form_stamp,mixed,哪份申请表右下角盖了红色印章？,文档类型加位置视觉属性,表单文字语义和印章视觉都必需,draft_pilot_not_final
v19p_mixed_005,mixed_screen_error,mixed,找界面顶部显示“连接失败”且下方有红色折线图的截图。,界面文字加图表,OCR文字和布局颜色都必需,draft_pilot_not_final
v19p_mixed_006,mixed_sign_mountain,mixed,我记得山景照片里的路牌写着海拔三千米。,场景加路牌文字,自然场景和明确数字文字都必需,draft_pilot_not_final
v19p_mixed_007,mixed_table_logo,mixed,找包含A17型号并在左上角放有蓝色标志的清单。,字段文字加位置对象,文字型号和视觉布局都必需,draft_pilot_not_final
v19p_mixed_008,mixed_uniform_number,mixed,哪张比赛照片里穿白色球衣的人号码是十号？,人物颜色动作语境加号码,视觉属性和可读号码都必需,draft_pilot_not_final
v19p_mixed_009,mixed_map_city,mixed,找地图上用星号标出南京并写有规划范围的页面。,地图符号加文字,空间符号与明确文字都必需,draft_pilot_not_final
v19p_mixed_010,mixed_bottle_label,mixed,哪张实验台照片中绿色瓶子的标签写着乙醇？,对象颜色关系加标签文字,视觉对象和OCR标签都必需,draft_pilot_not_final
v19p_mixed_011,mixed_timeline_phase,mixed,找时间轴第二个节点标注为“试运行”的那一页。,布局位置加节点文字,结构位置和明确文字都必需,draft_pilot_not_final
v19p_mixed_012,mixed_certificate_seal,mixed,哪份证书正文提到一等奖并带有金色圆形徽章？,正文文字加视觉徽章,文字与视觉对象都必需,draft_pilot_not_final
