query_id,family_id,split,gold_route,query_text,status
v19f_cal_entity_exact_05_product_zx410_p1,v19f_cal_entity_exact_05_product_zx410,calibration,entity_exact,查一下ZX-410。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_05_product_zx410_p2,v19f_cal_entity_exact_05_product_zx410,calibration,entity_exact,材料中有没有ZX-410？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_05_product_zx410_p3,v19f_cal_entity_exact_05_product_zx410,calibration,entity_exact,帮我定位型号ZX-410对应的记录。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_entity_exact_05_product_zx410_p4,v19f_cal_entity_exact_05_product_zx410,calibration,entity_exact,检索精确实体“ZX-410”。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_01_marine_carbon_sink_p1,v19f_cal_topic_discovery_01_marine_carbon_sink,calibration,topic_discovery,整理一下海洋碳汇方向的资料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_01_marine_carbon_sink_p2,v19f_cal_topic_discovery_01_marine_carbon_sink,calibration,topic_discovery,我想了解资料库里关于蓝碳研究的内容。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_01_marine_carbon_sink_p3,v19f_cal_topic_discovery_01_marine_carbon_sink,calibration,topic_discovery,有哪些材料讨论海洋生态系统固碳？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_01_marine_carbon_sink_p4,v19f_cal_topic_discovery_01_marine_carbon_sink,calibration,topic_discovery,帮我浏览海洋碳汇相关研究。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_02_battery_recycling_p1,v19f_cal_topic_discovery_02_battery_recycling,calibration,topic_discovery,找些动力电池回收方面的资料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_02_battery_recycling_p2,v19f_cal_topic_discovery_02_battery_recycling,calibration,topic_discovery,库里有哪些内容涉及废旧电池循环利用？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_02_battery_recycling_p3,v19f_cal_topic_discovery_02_battery_recycling,calibration,topic_discovery,我想浏览电池回收产业相关文档。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_02_battery_recycling_p4,v19f_cal_topic_discovery_02_battery_recycling,calibration,topic_discovery,帮我汇总退役电池再利用方向的材料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_03_smart_water_p1,v19f_cal_topic_discovery_03_smart_water,calibration,topic_discovery,看看智慧水务方向都有什么资料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_03_smart_water_p2,v19f_cal_topic_discovery_03_smart_water,calibration,topic_discovery,帮我浏览城市供水数字化相关内容。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_03_smart_water_p3,v19f_cal_topic_discovery_03_smart_water,calibration,topic_discovery,资料库覆盖了哪些智能水务研究？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_03_smart_water_p4,v19f_cal_topic_discovery_03_smart_water,calibration,topic_discovery,我想了解水务监测与调度方面的材料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_04_assistive_robotics_p1,v19f_cal_topic_discovery_04_assistive_robotics,calibration,topic_discovery,找一些康复辅助机器人领域的文档。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_04_assistive_robotics_p2,v19f_cal_topic_discovery_04_assistive_robotics,calibration,topic_discovery,库里有没有面向残障辅助的机器人研究？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_04_assistive_robotics_p3,v19f_cal_topic_discovery_04_assistive_robotics,calibration,topic_discovery,帮我整理辅助机器人方向的资料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_04_assistive_robotics_p4,v19f_cal_topic_discovery_04_assistive_robotics,calibration,topic_discovery,我想浏览康复机器人相关项目。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_05_precision_agriculture_p1,v19f_cal_topic_discovery_05_precision_agriculture,calibration,topic_discovery,汇总精准农业方面的资料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_05_precision_agriculture_p2,v19f_cal_topic_discovery_05_precision_agriculture,calibration,topic_discovery,有哪些文档讨论农业生产的精细化管理？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_05_precision_agriculture_p3,v19f_cal_topic_discovery_05_precision_agriculture,calibration,topic_discovery,帮我浏览智能农作与精准施肥相关内容。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_topic_discovery_05_precision_agriculture_p4,v19f_cal_topic_discovery_05_precision_agriculture,calibration,topic_discovery,我想了解精准农业方向的研究材料。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_01_worker_repair_sign_p1,v19f_cal_mixed_01_worker_repair_sign,calibration,mixed,找戴黄色安全帽并举着“检修中”牌子的工人照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_01_worker_repair_sign_p2,v19f_cal_mixed_01_worker_repair_sign,calibration,mixed,哪张图里黄帽工人手中的牌子写着“检修中”？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_01_worker_repair_sign_p3,v19f_cal_mixed_01_worker_repair_sign,calibration,mixed,帮我定位人物戴黄安全帽、标牌文字为“检修中”的画面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_01_worker_repair_sign_p4,v19f_cal_mixed_01_worker_repair_sign,calibration,mixed,我记得一张工地照片中有人举着写有“检修中”的牌子。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_02_second_prize_silver_seal_p1,v19f_cal_mixed_02_second_prize_silver_seal,calibration,mixed,找正文写着二等奖并带银色圆形印章的证书。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_02_second_prize_silver_seal_p2,v19f_cal_mixed_02_second_prize_silver_seal,calibration,mixed,哪份证书同时出现“二等奖”文字和银色圆章？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_02_second_prize_silver_seal_p3,v19f_cal_mixed_02_second_prize_silver_seal,calibration,mixed,帮我定位获奖等级为二等奖、右下方有银色印章的页面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_02_second_prize_silver_seal_p4,v19f_cal_mixed_02_second_prize_silver_seal,calibration,mixed,我需要文字内容是二等奖且视觉上带银色圆章的证书。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_03_sync_failure_bar_chart_p1,v19f_cal_mixed_03_sync_failure_bar_chart,calibration,mixed,找顶部显示“同步失败”、下方有橙色柱状图的界面截图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_03_sync_failure_bar_chart_p2,v19f_cal_mixed_03_sync_failure_bar_chart,calibration,mixed,哪张截图同时包含“同步失败”提示和橙色柱形图？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_03_sync_failure_bar_chart_p3,v19f_cal_mixed_03_sync_failure_bar_chart,calibration,mixed,帮我定位错误文字为同步失败、底部图表是橙色柱状图的页面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_03_sync_failure_bar_chart_p4,v19f_cal_mixed_03_sync_failure_bar_chart,calibration,mixed,我记得一张后台界面上方报同步失败，下面放着橙色柱图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_04_chengdu_star_boundary_p1,v19f_cal_mixed_04_chengdu_star_boundary,calibration,mixed,找用星号标出成都并写有“规划边界”的地图。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_04_chengdu_star_boundary_p2,v19f_cal_mixed_04_chengdu_star_boundary,calibration,mixed,哪张地图同时把成都标成星号、旁边标注规划边界？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_04_chengdu_star_boundary_p3,v19f_cal_mixed_04_chengdu_star_boundary,calibration,mixed,帮我定位成都位置带星形符号且文字提到规划边界的页面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_04_chengdu_star_boundary_p4,v19f_cal_mixed_04_chengdu_star_boundary,calibration,mixed,我需要地图上成都有星号，并能读到“规划边界”字样。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_05_blue_bottle_acetone_p1,v19f_cal_mixed_05_blue_bottle_acetone,calibration,mixed,找实验台上蓝色瓶子标签写着“丙酮”的照片。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_05_blue_bottle_acetone_p2,v19f_cal_mixed_05_blue_bottle_acetone,calibration,mixed,哪张图里蓝瓶的标签文字是丙酮？,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_05_blue_bottle_acetone_p3,v19f_cal_mixed_05_blue_bottle_acetone,calibration,mixed,帮我定位蓝色试剂瓶与“丙酮”标签同时出现的画面。,adjudicated_formal_calibration_30pct_double_review
v19f_cal_mixed_05_blue_bottle_acetone_p4,v19f_cal_mixed_05_blue_bottle_acetone,calibration,mixed,我记得实验室照片中有个蓝瓶，上面写着丙酮。,adjudicated_formal_calibration_30pct_double_review
